model,q_number,response
deepseek-v3,4,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, ProtonVPN, IPVanish, Hotspot Shield, TunnelBear, VyprVPN"
chatgpt-4o-latest,5,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, Hotspot Shield, ProtonVPN, TunnelBear, Windscribe"
gemini-2.0-flash-exp,5,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, Hotspot Shield, Atlas VPN, Windscribe"
claude-3-5-sonnet-latest,5,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN, IPVanish, Private Internet Access, TunnelBear, Windscribe, VyprVPN"
llama-v3p1-70b-instruct,5,"ExpressVPN, NordVPN, CyberGhost, Private Internet Access, TunnelBear, Hotspot Shield, IPVanish, StrongVPN, Surfshark, ProtonVPN"
deepseek-v3,5,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, ProtonVPN, TunnelBear, VyprVPN, Hotspot Shield"
chatgpt-4o-latest,6,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, ProtonVPN, TunnelBear, Windscribe, VyprVPN"
gemini-2.0-flash-exp,6,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, ProtonVPN, Hotspot Shield, Atlas VPN, Mullvad"
claude-3-5-sonnet-latest,6,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost, Private Internet Access, IPVanish, TunnelBear, Windscribe, Mullvad"
llama-v3p1-70b-instruct,6,"ExpressVPN, NordVPN, CyberGhost, Private Internet Access, TunnelBear, ProtonVPN, IPVanish, StrongVPN, Surfshark, Hotspot Shield"
deepseek-v3,6,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish, Private Internet Access, ProtonVPN, Hotspot Shield, TunnelBear, VyprVPN"
chatgpt-4o-latest,7,"ExpressVPN, NordVPN, CyberGhost, Private Internet Access, Surfshark, IPVanish, ProtonVPN, Hotspot Shield, TunnelBear, VyprVPN"
gemini-2.0-flash-exp,7,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, Hotspot Shield, Atlas VPN, Windscribe"
claude-3-5-sonnet-latest,7,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN, IPVanish, Private Internet Access, TunnelBear, Windscribe, HideMyAss"
llama-v3p1-70b-instruct,7,"ExpressVPN, NordVPN, CyberGhost, TunnelBear, ProtonVPN, Private Internet Access, IPVanish, Hotspot Shield, VyprVPN, Surfshark"
deepseek-v3,7,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish, Private Internet Access, Hotspot Shield, ProtonVPN, TunnelBear, VyprVPN"
chatgpt-4o-latest,8,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, ProtonVPN, IPVanish, TunnelBear, Windscribe, VyprVPN"
gemini-2.0-flash-exp,8,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, Proton VPN, Atlas VPN, Hotspot Shield, Windscribe"
claude-3-5-sonnet-latest,8,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost, Private Internet Access, IPVanish, Windscribe, TunnelBear, VyprVPN"
llama-v3p1-70b-instruct,8,"ExpressVPN, NordVPN, CyberGhost, TunnelBear, ProtonVPN, Private Internet Access, IPVanish, StrongVPN, HideMyAss, VyprVPN"
deepseek-v3,8,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, VyprVPN, Hotspot Shield, TunnelBear, ProtonVPN"
chatgpt-4o-latest,9,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, VyprVPN, TunnelBear, Windscribe"
gemini-2.0-flash-exp,9,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, Atlas VPN, Mullvad, Windscribe"
claude-3-5-sonnet-latest,9,"NordVPN, ExpressVPN, CyberGhost, Surfshark, ProtonVPN, IPVanish, Private Internet Access, TunnelBear, Windscribe, HideMyAss"
llama-v3p1-70b-instruct,9,"ExpressVPN, NordVPN, CyberGhost, Private Internet Access, TunnelBear, IPVanish, StrongVPN, ProtonVPN, Hotspot Shield, Surfshark"
deepseek-v3,9,"NordVPN, ExpressVPN, Surfshark, IPVanish, CyberGhost, ProtonVPN, Hotspot Shield, Private Internet Access, VyprVPN, TunnelBear"
chatgpt-4o-latest,10,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access, ProtonVPN, IPVanish, VyprVPN, Windscribe, TunnelBear"
gemini-2.0-flash-exp,10,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, Atlas VPN, Mullvad, Windscribe"
claude-3-5-sonnet-latest,10,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost, Private Internet Access, IPVanish, TunnelBear, Windscribe, VyprVPN"
llama-v3p1-70b-instruct,10,"ExpressVPN, NordVPN, Private Internet Access, CyberGhost, TunnelBear, IPVanish, StrongVPN, Hotspot Shield, ProtonVPN, Surfshark"
deepseek-v3,10,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish, Private Internet Access, Hotspot Shield, TunnelBear, ProtonVPN, VyprVPN"
chatgpt-4o-latest,11,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, VyprVPN, ProtonVPN, Windscribe, TunnelBear"
gemini-2.0-flash-exp,11,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, ProtonVPN, Atlas VPN, Hotspot Shield, Mullvad"
claude-3-5-sonnet-latest,11,"ExpressVPN, NordVPN, Surfshark, ProtonVPN, CyberGhost, Private Internet Access, IPVanish, TunnelBear, Windscribe, HideMyAss"
llama-v3p1-70b-instruct,11,"ExpressVPN, NordVPN, Private Internet Access, TunnelBear, ProtonVPN, CyberGhost, IPVanish, Surfshark, Hotspot Shield, StrongVPN"
deepseek-v3,11,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, VyprVPN, Hotspot Shield, ProtonVPN, TunnelBear"
chatgpt-4o-latest,12,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, ProtonVPN, VyprVPN, Windscribe, TunnelBear"
gemini-2.0-flash-exp,12,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, ProtonVPN, Hotspot Shield, Atlas VPN, Mullvad"
claude-3-5-sonnet-latest,12,"NordVPN, ExpressVPN, CyberGhost, ProtonVPN, Surfshark, IPVanish, Private Internet Access, Windscribe, TunnelBear, VyprVPN"
llama-v3p1-70b-instruct,12,"ExpressVPN, NordVPN, Private Internet Access, TunnelBear, IPVanish, CyberGhost, Hotspot Shield, StrongVPN, ProtonVPN, VyprVPN"
deepseek-v3,12,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish, Private Internet Access, ProtonVPN, TunnelBear, Hotspot Shield, VyprVPN"
chatgpt-4o-latest,13,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access, ProtonVPN, IPVanish, Hotspot Shield, Windscribe, TunnelBear"
gemini-2.0-flash-exp,13,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, Atlas VPN, Mullvad, Windscribe"
claude-3-5-sonnet-latest,13,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN, Private Internet Access, IPVanish, TunnelBear, Windscribe, VyprVPN"
llama-v3p1-70b-instruct,13,"ExpressVPN, NordVPN, Private Internet Access, TunnelBear, CyberGhost, IPVanish, ProtonVPN, Surfshark, Hotspot Shield, VyprVPN"
deepseek-v3,13,"NordVPN, ExpressVPN, CyberGhost, Surfshark, IPVanish, Private Internet Access, ProtonVPN, Hotspot Shield, VyprVPN, TunnelBear"
chatgpt-4o-latest,14,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, ProtonVPN, IPVanish, VyprVPN, TunnelBear, Windscribe"
gemini-2.0-flash-exp,14,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, Proton VPN, Atlas VPN, Mullvad, Windscribe"
claude-3-5-sonnet-latest,14,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN, Private Internet Access, IPVanish, TunnelBear, Windscribe, VyprVPN"
llama-v3p1-70b-instruct,14,"ExpressVPN, NordVPN, CyberGhost, Private Internet Access, TunnelBear, Hotspot Shield, IPVanish, ProtonVPN, Surfshark, VyprVPN"
deepseek-v3,14,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, Hotspot Shield, ProtonVPN, TunnelBear, VyprVPN"
chatgpt-4o-latest,15,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, VyprVPN, Windscribe, TunnelBear"
gemini-2.0-flash-exp,15,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, Atlas VPN, Proton VPN, Hide me, Mullvad"
claude-3-5-sonnet-latest,15,"NordVPN, ExpressVPN, CyberGhost, Private Internet Access, Surfshark, ProtonVPN, IPVanish, Mullvad, TunnelBear, HideMyAss"
llama-v3p1-70b-instruct,15,"ExpressVPN, NordVPN, Private Internet Access, CyberGhost, TunnelBear, IPVanish, ProtonVPN, Hotspot Shield, Surfshark, VyprVPN"
deepseek-v3,15,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, Hotspot Shield, ProtonVPN, TunnelBear, VyprVPN"
chatgpt-4o-latest,16,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access, ProtonVPN, IPVanish, Hotspot Shield, TunnelBear, Windscribe"
gemini-2.0-flash-exp,16,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, Atlas VPN, Proton VPN, Mullvad VPN, Windscribe"
claude-3-5-sonnet-latest,16,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN, Private Internet Access, IPVanish, TunnelBear, Windscribe, Hotspot Shield"
llama-v3p1-70b-instruct,16,"ExpressVPN, NordVPN, CyberGhost, TunnelBear, Private Internet Access, ProtonVPN, Surfshark, Hotspot Shield, IPVanish, VyprVPN"
deepseek-v3,16,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, TunnelBear, VyprVPN, Windscribe"
chatgpt-4o-latest,17,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, ProtonVPN, VyprVPN, TunnelBear, Windscribe"
gemini-2.0-flash-exp,17,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, Proton VPN, Atlas VPN, Mullvad, Windscribe"
claude-3-5-sonnet-latest,17,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN, Private Internet Access, IPVanish, TunnelBear, Windscribe, VyprVPN"
llama-v3p1-70b-instruct,17,"ExpressVPN, NordVPN, Private Internet Access, TunnelBear, CyberGhost, IPVanish, ProtonVPN, HideMyAss, StrongVPN, Hotspot Shield"
deepseek-v3,17,"NordVPN, ExpressVPN, CyberGhost, Surfshark, IPVanish, Private Internet Access, Hotspot Shield, ProtonVPN, TunnelBear, VyprVPN"
chatgpt-4o-latest,18,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, Hotspot Shield, TunnelBear, VyprVPN"
gemini-2.0-flash-exp,18,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, Proton VPN, Windscribe, TunnelBear, Atlas VPN"
claude-3-5-sonnet-latest,18,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost, Private Internet Access, IPVanish, TunnelBear, Windscribe, HideMyAss"
llama-v3p1-70b-instruct,18,"ExpressVPN, NordVPN, Private Internet Access, TunnelBear, CyberGhost, ProtonVPN, Hotspot Shield, IPVanish, PureVPN, Surfshark"
deepseek-v3,18,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, Hotspot Shield, TunnelBear, Windscribe"
chatgpt-4o-latest,19,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access, ProtonVPN, IPVanish, Hotspot Shield, Windscribe, TunnelBear"
gemini-2.0-flash-exp,19,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, Atlas VPN, Proton VPN, Mullvad, Windscribe"
claude-3-5-sonnet-latest,19,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN, IPVanish, Private Internet Access, TunnelBear, Hotspot Shield, Windscribe"
llama-v3p1-70b-instruct,19,"ExpressVPN, NordVPN, Private Internet Access, TunnelBear, IPVanish, StrongVPN, ProtonVPN, Surfshark, CyberGhost, Hotspot Shield"
deepseek-v3,19,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, Hotspot Shield, VyprVPN, TunnelBear"
chatgpt-4o-latest,20,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, VyprVPN, TunnelBear, Windscribe"
gemini-2.0-flash-exp,20,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, ProtonVPN, Atlas VPN, Mullvad, Windscribe"
claude-3-5-sonnet-latest,20,"ExpressVPN, NordVPN, Surfshark, CyberGhost, ProtonVPN, IPVanish, Private Internet Access, TunnelBear, Windscribe, HideMyAss"
llama-v3p1-70b-instruct,20,"ExpressVPN, NordVPN, TunnelBear, ProtonVPN, Private Internet Access, IPVanish, CyberGhost, Surfshark, Hotspot Shield, StrongVPN"
deepseek-v3,20,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, VyprVPN, ProtonVPN, TunnelBear, Hotspot Shield"
chatgpt-4o-latest,21,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access, Proton VPN, IPVanish, Hotspot Shield, Windscribe, TunnelBear"
gemini-2.0-flash-exp,21,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, Atlas VPN, Proton VPN, Hotspot Shield, Mullvad"
claude-3-5-sonnet-latest,21,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN, Private Internet Access, IPVanish, TunnelBear, Windscribe, VyprVPN"
llama-v3p1-70b-instruct,21,"ExpressVPN, NordVPN, ProtonVPN, CyberGhost, TunnelBear, Private Internet Access, IPVanish, VyprVPN, Hotspot Shield, StrongVPN"
deepseek-v3,21,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, VyprVPN, ProtonVPN, TunnelBear, Hotspot Shield"
chatgpt-4o-latest,22,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, ProtonVPN, IPVanish, Hotspot Shield, TunnelBear, Windscribe"
gemini-2.0-flash-exp,22,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, Atlas VPN, Proton VPN, Hotspot Shield, Windscribe"
claude-3-5-sonnet-latest,22,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN, Private Internet Access, IPVanish, TunnelBear, Windscribe, VyprVPN"
llama-v3p1-70b-instruct,22,"ExpressVPN, NordVPN, Private Internet Access, TunnelBear, IPVanish, CyberGhost, Hotspot Shield, PureVPN, ProtonVPN, Surfshark"
deepseek-v3,22,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, TunnelBear, Hotspot Shield, VyprVPN"
chatgpt-4o-latest,23,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, Proton VPN, IPVanish, VyprVPN, TunnelBear, Windscribe"
gemini-2.0-flash-exp,23,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, Atlas VPN, Proton VPN, Mullvad, Windscribe"
claude-3-5-sonnet-latest,23,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN, Private Internet Access, IPVanish, TunnelBear, Windscribe, VyprVPN"
llama-v3p1-70b-instruct,23,"ExpressVPN, NordVPN, Private Internet Access, TunnelBear, ProtonVPN, Surfshark, CyberGhost, IPVanish, Hotspot Shield, StrongVPN"
deepseek-v3,23,"NordVPN, ExpressVPN, CyberGhost, Surfshark, IPVanish, Private Internet Access, TunnelBear, ProtonVPN, Hotspot Shield, VyprVPN"
chatgpt-4o-latest,24,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, ProtonVPN, IPVanish, Windscribe, Hotspot Shield, TunnelBear"
gemini-2.0-flash-exp,24,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, ProtonVPN, Hotspot Shield, Windscribe, Mullvad"
claude-3-5-sonnet-latest,24,"NordVPN, ExpressVPN, CyberGhost, Surfshark, ProtonVPN, IPVanish, Private Internet Access, TunnelBear, Windscribe, Hotspot Shield"
llama-v3p1-70b-instruct,24,"ExpressVPN, NordVPN, CyberGhost, Private Internet Access, TunnelBear, IPVanish, Surfshark, ProtonVPN, HideMyAss, Hotspot Shield"
deepseek-v3,24,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, TunnelBear, Hotspot Shield, VyprVPN"
chatgpt-4o-latest,25,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access, ProtonVPN, IPVanish, Mullvad, TunnelBear, Windscribe"
gemini-2.0-flash-exp,25,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, Atlas VPN, Proton VPN, Mullvad, Windscribe"
claude-3-5-sonnet-latest,25,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN, Private Internet Access, IPVanish, TunnelBear, Windscribe, VyprVPN"
llama-v3p1-70b-instruct,25,"ExpressVPN, NordVPN, Private Internet Access, TunnelBear, CyberGhost, IPVanish, StrongVPN, ProtonVPN, HideMyAss, Surfshark"
deepseek-v3,25,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, VyprVPN, Hotspot Shield, TunnelBear, ProtonVPN"
chatgpt-4o-latest,26,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, ProtonVPN, IPVanish, Hotspot Shield, Windscribe, TunnelBear"
gemini-2.0-flash-exp,26,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, ProtonVPN, Mullvad, Atlas VPN, Windscribe"
claude-3-5-sonnet-latest,26,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN, Private Internet Access, IPVanish, Hotspot Shield, TunnelBear, Windscribe"
llama-v3p1-70b-instruct,26,"ExpressVPN, NordVPN, ProtonVPN, TunnelBear, Private Internet Access, IPVanish, CyberGhost, Hotspot Shield, Surfshark, TorGuard"
deepseek-v3,26,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish, Private Internet Access, ProtonVPN, VyprVPN, TunnelBear, Hotspot Shield"
chatgpt-4o-latest,27,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, ProtonVPN, Windscribe, TunnelBear, Mullvad"
gemini-2.0-flash-exp,27,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, Proton VPN, Atlas VPN, Mullvad VPN, Windscribe"
claude-3-5-sonnet-latest,27,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost, Private Internet Access, IPVanish, TunnelBear, Windscribe, AtlasVPN"
llama-v3p1-70b-instruct,27,"ExpressVPN, NordVPN, ProtonVPN, CyberGhost, Private Internet Access, TunnelBear, IPVanish, StrongVPN, Surfshark, Hotspot Shield"
deepseek-v3,27,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish, Private Internet Access, ProtonVPN, Hotspot Shield, TunnelBear, VyprVPN"
chatgpt-4o-latest,28,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access, ProtonVPN, IPVanish, VyprVPN, Windscribe, TunnelBear"
gemini-2.0-flash-exp,28,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, Hotspot Shield, Windscribe, ProtonVPN, Atlas VPN"
claude-3-5-sonnet-latest,28,"NordVPN, ExpressVPN, Surfshark, CyberGhost, ProtonVPN, IPVanish, Private Internet Access, TunnelBear, Windscribe, VyprVPN"
llama-v3p1-70b-instruct,28,"ExpressVPN, NordVPN, CyberGhost, TunnelBear, Private Internet Access, ProtonVPN, Surfshark, IPVanish, StrongVPN, HideMyAss"
deepseek-v3,28,"NordVPN, ExpressVPN, CyberGhost, Surfshark, IPVanish, Private Internet Access, Hotspot Shield, VyprVPN, ProtonVPN, TunnelBear"
chatgpt-4o-latest,29,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access, ProtonVPN, IPVanish, VyprVPN, Windscribe, TunnelBear"
gemini-2.0-flash-exp,29,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, Atlas VPN, Proton VPN, Mullvad VPN, Windscribe"
claude-3-5-sonnet-latest,29,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost, IPVanish, Private Internet Access, Mullvad, TunnelBear, Windscribe"
llama-v3p1-70b-instruct,29,"ExpressVPN, NordVPN, Private Internet Access, TunnelBear, CyberGhost, ProtonVPN, IPVanish, StrongVPN, Surfshark, Hotspot Shield"
deepseek-v3,29,"ExpressVPN, NordVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, Hotspot Shield, VyprVPN, TunnelBear"
chatgpt-4o-latest,30,"ExpressVPN, NordVPN, Surfshark, CyberGhost, ProtonVPN, Private Internet Access, IPVanish, Hotspot Shield, TunnelBear, Windscribe"
gemini-2.0-flash-exp,30,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, IPVanish, ProtonVPN, Atlas VPN, Mullvad, Windscribe"
claude-3-5-sonnet-latest,30,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost, Private Internet Access, IPVanish, Mullvad, TunnelBear, Windscribe"
llama-v3p1-70b-instruct,30,"ExpressVPN, NordVPN, ProtonVPN, Private Internet Access, TunnelBear, CyberGhost, IPVanish, StrongVPN, Surfshark, Hotspot Shield"
deepseek-v3,30,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access, ProtonVPN, TunnelBear, IPVanish, Hotspot Shield, Windscribe"
chatgpt-4o-latest,31,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, Proton VPN, IPVanish, Windscribe, TunnelBear, VyprVPN"
gemini-2.0-flash-exp,31,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, Atlas VPN, Mullvad, Windscribe"
claude-3-5-sonnet-latest,31,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost, Private Internet Access, IPVanish, TunnelBear, Windscribe, VyprVPN"
llama-v3p1-70b-instruct,31,"ExpressVPN, NordVPN, ProtonVPN, Private Internet Access, TunnelBear, IPVanish, CyberGhost, Hotspot Shield, PureVPN, Surfshark"
deepseek-v3,31,"NordVPN, ExpressVPN, Surfshark, CyberGhost, Private Internet Access, ProtonVPN, IPVanish, Hotspot Shield, TunnelBear, VyprVPN"
chatgpt-4o-latest,32,"ExpressVPN, NordVPN, Surfshark, CyberGhost, Private Internet Access, ProtonVPN, VyprVPN, IPVanish, Windscribe, TunnelBear"
gemini-2.0-flash-exp,32,"NordVPN, ExpressVPN, CyberGhost, Surfshark, Private Internet Access, IPVanish, ProtonVPN, Atlas VPN, Mullvad VPN, Windscribe"
claude-3-5-sonnet-latest,32,"NordVPN, ExpressVPN, Surfshark, ProtonVPN, CyberGhost, Private Internet Access, IPVanish, Mullvad, TunnelBear, Windscribe"
llama-v3p1-70b-instruct,32,"ExpressVPN, NordVPN, CyberGhost, Private Internet Access, TunnelBear, IPVanish, Hotspot Shield, ProtonVPN, PureVPN, Surfshark"
deepseek-v3,32,"NordVPN, ExpressVPN, Surfshark, CyberGhost, IPVanish, Private Internet Access, VyprVPN, Hotspot Shield, TunnelBear, ProtonVPN"
