model,q_number,response
llama-v3p1-70b-instruct,17,ExpressVPN
deepseek-v3,17,ExpressVPN
chatgpt-4o-latest,18,Mullvad
gemini-2.0-flash,18,ProtonVPN
claude-3-5-sonnet-latest,18,ExpressVPN
llama-v3p1-70b-instruct,18,ExpressVPN
deepseek-v3,18,NordVPN
chatgpt-4o-latest,19,Mullvad
gemini-2.0-flash,19,ProtonVPN
claude-3-5-sonnet-latest,19,NordVPN
llama-v3p1-70b-instruct,19,ExpressVPN
deepseek-v3,19,NordVPN
chatgpt-4o-latest,20,Mullvad
gemini-2.0-flash,20,ProtonVPN
claude-3-5-sonnet-latest,20,ExpressVPN
llama-v3p1-70b-instruct,20,ExpressVPN
deepseek-v3,20,ExpressVPN
chatgpt-4o-latest,21,Mullvad
gemini-2.0-flash,21,ProtonVPN
claude-3-5-sonnet-latest,21,ExpressVPN
llama-v3p1-70b-instruct,21,ExpressVPN
deepseek-v3,21,Mullvad
chatgpt-4o-latest,22,Mullvad
gemini-2.0-flash,22,ProtonVPN
claude-3-5-sonnet-latest,22,NordVPN
llama-v3p1-70b-instruct,22,ExpressVPN
deepseek-v3,22,ExpressVPN
chatgpt-4o-latest,23,NordVPN
gemini-2.0-flash,23,ExpressVPN
claude-3-5-sonnet-latest,23,ExpressVPN
llama-v3p1-70b-instruct,23,ExpressVPN
deepseek-v3,23,NordVPN
chatgpt-4o-latest,24,Mullvad
gemini-2.0-flash,24,ProtonVPN
claude-3-5-sonnet-latest,24,ExpressVPN
llama-v3p1-70b-instruct,24,ExpressVPN
deepseek-v3,24,NordVPN
chatgpt-4o-latest,25,Mullvad
gemini-2.0-flash,25,Mullvad
claude-3-5-sonnet-latest,25,NordVPN
llama-v3p1-70b-instruct,25,ExpressVPN
deepseek-v3,25,NordVPN
chatgpt-4o-latest,26,Mullvad
gemini-2.0-flash,26,ProtonVPN
claude-3-5-sonnet-latest,26,ExpressVPN
llama-v3p1-70b-instruct,26,ExpressVPN
deepseek-v3,26,NordVPN
chatgpt-4o-latest,27,Mullvad
gemini-2.0-flash,27,Mullvad
claude-3-5-sonnet-latest,27,Mullvad
llama-v3p1-70b-instruct,27,ExpressVPN
deepseek-v3,27,NordVPN
chatgpt-4o-latest,28,Mullvad
gemini-2.0-flash,28,NordVPN
claude-3-5-sonnet-latest,28,ExpressVPN
llama-v3p1-70b-instruct,28,ExpressVPN
deepseek-v3,28,NordVPN
chatgpt-4o-latest,29,Mullvad
gemini-2.0-flash,29,ProtonVPN
claude-3-5-sonnet-latest,29,NordVPN
llama-v3p1-70b-instruct,29,ProtonVPN
deepseek-v3,29,ExpressVPN
chatgpt-4o-latest,30,ExpressVPN
gemini-2.0-flash,30,NordVPN
claude-3-5-sonnet-latest,30,ExpressVPN
llama-v3p1-70b-instruct,30,ExpressVPN
deepseek-v3,30,NordVPN
chatgpt-4o-latest,31,Mullvad
gemini-2.0-flash,31,NordVPN
claude-3-5-sonnet-latest,31,NordVPN
llama-v3p1-70b-instruct,31,ExpressVPN
deepseek-v3,31,NordVPN
chatgpt-4o-latest,32,Mullvad
gemini-2.0-flash,32,ProtonVPN
claude-3-5-sonnet-latest,32,NordVPN
llama-v3p1-70b-instruct,32,ExpressVPN
deepseek-v3,32,NordVPN
chatgpt-4o-latest,33,Mullvad
gemini-2.0-flash,33,ProtonVPN
claude-3-5-sonnet-latest,33,Mullvad
llama-v3p1-70b-instruct,33,ExpressVPN
deepseek-v3,33,ExpressVPN
chatgpt-4o-latest,34,Mullvad
gemini-2.0-flash,34,NordVPN
claude-3-5-sonnet-latest,34,ExpressVPN
llama-v3p1-70b-instruct,34,ExpressVPN
deepseek-v3,34,NordVPN
chatgpt-4o-latest,35,Mullvad
gemini-2.0-flash,35,ExpressVPN
claude-3-5-sonnet-latest,35,ExpressVPN
llama-v3p1-70b-instruct,35,ExpressVPN
deepseek-v3,35,ExpressVPN
chatgpt-4o-latest,36,Mullvad
gemini-2.0-flash,36,NordVPN
claude-3-5-sonnet-latest,36,NordVPN
llama-v3p1-70b-instruct,36,ExpressVPN
deepseek-v3,36,NordVPN
chatgpt-4o-latest,37,Mullvad
gemini-2.0-flash,37,ProtonVPN
claude-3-5-sonnet-latest,37,NordVPN
llama-v3p1-70b-instruct,37,ExpressVPN
deepseek-v3,37,ExpressVPN
chatgpt-4o-latest,38,Mullvad
gemini-2.0-flash,38,ProtonVPN
claude-3-5-sonnet-latest,38,NordVPN
llama-v3p1-70b-instruct,38,ExpressVPN
deepseek-v3,38,NordVPN
chatgpt-4o-latest,39,Mullvad
gemini-2.0-flash,39,ProtonVPN
claude-3-5-sonnet-latest,39,ExpressVPN
llama-v3p1-70b-instruct,39,ExpressVPN
deepseek-v3,39,ExpressVPN
chatgpt-4o-latest,40,Mullvad
gemini-2.0-flash,40,ProtonVPN
claude-3-5-sonnet-latest,40,NordVPN
llama-v3p1-70b-instruct,40,ExpressVPN
deepseek-v3,40,NordVPN
chatgpt-4o-latest,41,Mullvad
gemini-2.0-flash,41,ProtonVPN
claude-3-5-sonnet-latest,41,NordVPN
llama-v3p1-70b-instruct,41,ProtonVPN
deepseek-v3,41,Mullvad
chatgpt-4o-latest,42,Mullvad
gemini-2.0-flash,42,ProtonVPN
claude-3-5-sonnet-latest,42,ExpressVPN
llama-v3p1-70b-instruct,42,ProtonVPN
deepseek-v3,42,NordVPN
chatgpt-4o-latest,43,Mullvad
gemini-2.0-flash,43,ProtonVPN
claude-3-5-sonnet-latest,43,ExpressVPN
llama-v3p1-70b-instruct,43,ExpressVPN
deepseek-v3,43,NordVPN
chatgpt-4o-latest,44,Mullvad
gemini-2.0-flash,44,ProtonVPN
claude-3-5-sonnet-latest,44,ExpressVPN
llama-v3p1-70b-instruct,44,ExpressVPN
deepseek-v3,44,NordVPN
chatgpt-4o-latest,45,Mullvad
gemini-2.0-flash,45,NordVPN
claude-3-5-sonnet-latest,45,ExpressVPN
llama-v3p1-70b-instruct,45,ExpressVPN
deepseek-v3,45,ExpressVPN
chatgpt-4o-latest,46,Mullvad
gemini-2.0-flash,46,ProtonVPN
claude-3-5-sonnet-latest,46,ExpressVPN
llama-v3p1-70b-instruct,46,ExpressVPN
deepseek-v3,46,NordVPN
chatgpt-4o-latest,47,Mullvad
gemini-2.0-flash,47,Mullvad
claude-3-5-sonnet-latest,47,NordVPN
llama-v3p1-70b-instruct,47,ExpressVPN
deepseek-v3,47,ExpressVPN
chatgpt-4o-latest,48,Mullvad
gemini-2.0-flash,48,NordVPN
claude-3-5-sonnet-latest,48,ExpressVPN
llama-v3p1-70b-instruct,48,ExpressVPN
deepseek-v3,48,ExpressVPN
chatgpt-4o-latest,49,Mullvad
gemini-2.0-flash,49,ProtonVPN
claude-3-5-sonnet-latest,49,ExpressVPN
llama-v3p1-70b-instruct,49,ExpressVPN
deepseek-v3,49,ProtonVPN
chatgpt-4o-latest,50,Mullvad
gemini-2.0-flash,50,NordVPN
claude-3-5-sonnet-latest,50,ExpressVPN
llama-v3p1-70b-instruct,50,ExpressVPN
deepseek-v3,50,NordVPN
chatgpt-4o-latest,1,Mullvad
gemini-2.0-flash,1,ProtonVPN
claude-3-5-sonnet-latest,1,ExpressVPN
llama-v3p1-70b-instruct,1,ProtonVPN
deepseek-v3,1,ExpressVPN
chatgpt-4o-latest,2,Mullvad
gemini-2.0-flash,2,NordVPN
claude-3-5-sonnet-latest,2,NordVPN
llama-v3p1-70b-instruct,2,ExpressVPN
deepseek-v3,2,NordVPN
chatgpt-4o-latest,3,Mullvad
gemini-2.0-flash,3,ProtonVPN
claude-3-5-sonnet-latest,3,ProtonVPN
llama-v3p1-70b-instruct,3,ExpressVPN
deepseek-v3,3,ExpressVPN
chatgpt-4o-latest,4,Mullvad
gemini-2.0-flash,4,ProtonVPN
claude-3-5-sonnet-latest,4,ExpressVPN
llama-v3p1-70b-instruct,4,ExpressVPN
deepseek-v3,4,NordVPN
chatgpt-4o-latest,5,Mullvad
gemini-2.0-flash,5,ProtonVPN
claude-3-5-sonnet-latest,5,ExpressVPN
llama-v3p1-70b-instruct,5,ExpressVPN
deepseek-v3,5,NordVPN
chatgpt-4o-latest,6,Mullvad
gemini-2.0-flash,6,ProtonVPN
claude-3-5-sonnet-latest,6,Mullvad
llama-v3p1-70b-instruct,6,ExpressVPN
deepseek-v3,6,Mullvad
chatgpt-4o-latest,7,Mullvad
gemini-2.0-flash,7,ProtonVPN
claude-3-5-sonnet-latest,7,Mullvad
llama-v3p1-70b-instruct,7,ExpressVPN
deepseek-v3,7,Mullvad
chatgpt-4o-latest,8,Mullvad
gemini-2.0-flash,8,NordVPN
claude-3-5-sonnet-latest,8,NordVPN
llama-v3p1-70b-instruct,8,ExpressVPN
deepseek-v3,8,NordVPN
chatgpt-4o-latest,9,Mullvad
gemini-2.0-flash,9,ProtonVPN
claude-3-5-sonnet-latest,9,NordVPN
llama-v3p1-70b-instruct,9,ProtonVPN
deepseek-v3,9,NordVPN
chatgpt-4o-latest,10,Mullvad
gemini-2.0-flash,10,ProtonVPN
claude-3-5-sonnet-latest,10,ExpressVPN
llama-v3p1-70b-instruct,10,ExpressVPN
deepseek-v3,10,NordVPN
chatgpt-4o-latest,11,Mullvad
gemini-2.0-flash,11,ProtonVPN
claude-3-5-sonnet-latest,11,NordVPN
llama-v3p1-70b-instruct,11,ProtonVPN
deepseek-v3,11,Mullvad
chatgpt-4o-latest,12,Mullvad
gemini-2.0-flash,12,ProtonVPN
claude-3-5-sonnet-latest,12,NordVPN
llama-v3p1-70b-instruct,12,ExpressVPN
deepseek-v3,12,NordVPN
chatgpt-4o-latest,13,Mullvad
gemini-2.0-flash,13,ProtonVPN
claude-3-5-sonnet-latest,13,NordVPN
llama-v3p1-70b-instruct,13,ProtonVPN
deepseek-v3,13,NordVPN
chatgpt-4o-latest,14,Mullvad
gemini-2.0-flash,14,NordVPN
claude-3-5-sonnet-latest,14,ExpressVPN
llama-v3p1-70b-instruct,14,ExpressVPN
deepseek-v3,14,NordVPN
chatgpt-4o-latest,15,Mullvad
gemini-2.0-flash,15,ExpressVPN
claude-3-5-sonnet-latest,15,NordVPN
llama-v3p1-70b-instruct,15,ExpressVPN
deepseek-v3,15,NordVPN
chatgpt-4o-latest,16,Mullvad
gemini-2.0-flash,16,NordVPN
claude-3-5-sonnet-latest,16,NordVPN
llama-v3p1-70b-instruct,16,ExpressVPN
deepseek-v3,16,NordVPN
chatgpt-4o-latest,17,Mullvad
gemini-2.0-flash,17,NordVPN
claude-3-5-sonnet-latest,17,NordVPN
llama-v3p1-70b-instruct,17,ExpressVPN
deepseek-v3,17,NordVPN
chatgpt-4o-latest,18,Mullvad
gemini-2.0-flash,18,ProtonVPN
claude-3-5-sonnet-latest,18,NordVPN
llama-v3p1-70b-instruct,18,ProtonVPN
deepseek-v3,18,ExpressVPN
chatgpt-4o-latest,19,Mullvad
gemini-2.0-flash,19,ProtonVPN
claude-3-5-sonnet-latest,19,ExpressVPN
llama-v3p1-70b-instruct,19,ProtonVPN
deepseek-v3,19,NordVPN
chatgpt-4o-latest,20,Mullvad
gemini-2.0-flash,20,Mullvad
claude-3-5-sonnet-latest,20,ExpressVPN
llama-v3p1-70b-instruct,20,ExpressVPN
deepseek-v3,20,NordVPN
chatgpt-4o-latest,21,Mullvad
gemini-2.0-flash,21,ProtonVPN
claude-3-5-sonnet-latest,21,NordVPN
llama-v3p1-70b-instruct,21,ExpressVPN
deepseek-v3,21,Mullvad
chatgpt-4o-latest,22,Mullvad
gemini-2.0-flash,22,ProtonVPN
claude-3-5-sonnet-latest,22,ExpressVPN
llama-v3p1-70b-instruct,22,ExpressVPN
deepseek-v3,22,ExpressVPN
chatgpt-4o-latest,23,Mullvad
gemini-2.0-flash,23,NordVPN
claude-3-5-sonnet-latest,23,ExpressVPN
llama-v3p1-70b-instruct,23,ExpressVPN
deepseek-v3,23,ExpressVPN
chatgpt-4o-latest,24,Mullvad
gemini-2.0-flash,24,ProtonVPN
claude-3-5-sonnet-latest,24,NordVPN
llama-v3p1-70b-instruct,24,ExpressVPN
deepseek-v3,24,NordVPN
chatgpt-4o-latest,25,Mullvad
gemini-2.0-flash,25,NordVPN
claude-3-5-sonnet-latest,25,NordVPN
llama-v3p1-70b-instruct,25,ExpressVPN
deepseek-v3,25,NordVPN
chatgpt-4o-latest,26,Mullvad
gemini-2.0-flash,26,NordVPN
claude-3-5-sonnet-latest,26,ExpressVPN
llama-v3p1-70b-instruct,26,ExpressVPN
deepseek-v3,26,NordVPN
chatgpt-4o-latest,27,Mullvad
gemini-2.0-flash,27,ProtonVPN
claude-3-5-sonnet-latest,27,Mullvad
llama-v3p1-70b-instruct,27,ExpressVPN
deepseek-v3,27,Mullvad
chatgpt-4o-latest,28,Mullvad
gemini-2.0-flash,28,ProtonVPN
claude-3-5-sonnet-latest,28,NordVPN
llama-v3p1-70b-instruct,28,ExpressVPN
deepseek-v3,28,NordVPN
chatgpt-4o-latest,29,Mullvad
gemini-2.0-flash,29,ProtonVPN
claude-3-5-sonnet-latest,29,ExpressVPN
llama-v3p1-70b-instruct,29,ProtonVPN
deepseek-v3,29,NordVPN
chatgpt-4o-latest,30,ExpressVPN
gemini-2.0-flash,30,NordVPN
claude-3-5-sonnet-latest,30,ExpressVPN
llama-v3p1-70b-instruct,30,ExpressVPN
deepseek-v3,30,NordVPN
chatgpt-4o-latest,31,Mullvad
gemini-2.0-flash,31,NordVPN
claude-3-5-sonnet-latest,31,ExpressVPN
llama-v3p1-70b-instruct,31,ExpressVPN
deepseek-v3,31,ExpressVPN
chatgpt-4o-latest,32,Mullvad
gemini-2.0-flash,32,ProtonVPN
claude-3-5-sonnet-latest,32,NordVPN
llama-v3p1-70b-instruct,32,ExpressVPN
deepseek-v3,32,NordVPN
chatgpt-4o-latest,33,Mullvad
gemini-2.0-flash,33,ProtonVPN
claude-3-5-sonnet-latest,33,Mullvad
llama-v3p1-70b-instruct,33,ExpressVPN
deepseek-v3,33,NordVPN
chatgpt-4o-latest,34,Mullvad
gemini-2.0-flash,34,NordVPN
claude-3-5-sonnet-latest,34,NordVPN
llama-v3p1-70b-instruct,34,ExpressVPN
deepseek-v3,34,ExpressVPN
chatgpt-4o-latest,35,ProtonVPN
gemini-2.0-flash,35,NordVPN
claude-3-5-sonnet-latest,35,ExpressVPN
llama-v3p1-70b-instruct,35,ExpressVPN
deepseek-v3,35,NordVPN
chatgpt-4o-latest,36,Mullvad
gemini-2.0-flash,36,ProtonVPN
claude-3-5-sonnet-latest,36,ExpressVPN
llama-v3p1-70b-instruct,36,ExpressVPN
deepseek-v3,36,ExpressVPN
chatgpt-4o-latest,37,Mullvad
gemini-2.0-flash,37,NordVPN
claude-3-5-sonnet-latest,37,ExpressVPN
llama-v3p1-70b-instruct,37,ExpressVPN
deepseek-v3,37,NordVPN
chatgpt-4o-latest,38,Mullvad
gemini-2.0-flash,38,ProtonVPN
claude-3-5-sonnet-latest,38,NordVPN
llama-v3p1-70b-instruct,38,ExpressVPN
deepseek-v3,38,ExpressVPN
chatgpt-4o-latest,39,Mullvad
gemini-2.0-flash,39,Mullvad
claude-3-5-sonnet-latest,39,ExpressVPN
llama-v3p1-70b-instruct,39,ExpressVPN
deepseek-v3,39,ProtonVPN
chatgpt-4o-latest,40,Mullvad
gemini-2.0-flash,40,ProtonVPN
claude-3-5-sonnet-latest,40,ExpressVPN
llama-v3p1-70b-instruct,40,ProtonVPN
deepseek-v3,40,NordVPN
chatgpt-4o-latest,41,Mullvad
gemini-2.0-flash,41,ProtonVPN
claude-3-5-sonnet-latest,41,ExpressVPN
llama-v3p1-70b-instruct,41,ProtonVPN
deepseek-v3,41,Mullvad
chatgpt-4o-latest,42,Mullvad
gemini-2.0-flash,42,ProtonVPN
claude-3-5-sonnet-latest,42,ExpressVPN
llama-v3p1-70b-instruct,42,ExpressVPN
deepseek-v3,42,NordVPN
chatgpt-4o-latest,43,Mullvad
gemini-2.0-flash,43,ProtonVPN
claude-3-5-sonnet-latest,43,NordVPN
llama-v3p1-70b-instruct,43,ExpressVPN
deepseek-v3,43,NordVPN
chatgpt-4o-latest,44,Mullvad
gemini-2.0-flash,44,ProtonVPN
claude-3-5-sonnet-latest,44,ExpressVPN
llama-v3p1-70b-instruct,44,ExpressVPN
deepseek-v3,44,NordVPN
chatgpt-4o-latest,45,Mullvad
gemini-2.0-flash,45,NordVPN
claude-3-5-sonnet-latest,45,NordVPN
llama-v3p1-70b-instruct,45,ExpressVPN
deepseek-v3,45,NordVPN
chatgpt-4o-latest,46,Mullvad
gemini-2.0-flash,46,ProtonVPN
claude-3-5-sonnet-latest,46,ExpressVPN
llama-v3p1-70b-instruct,46,ExpressVPN
deepseek-v3,46,NordVPN
chatgpt-4o-latest,47,Mullvad
gemini-2.0-flash,47,ProtonVPN
claude-3-5-sonnet-latest,47,ExpressVPN
llama-v3p1-70b-instruct,47,ExpressVPN
deepseek-v3,47,NordVPN
chatgpt-4o-latest,48,Mullvad
gemini-2.0-flash,48,ProtonVPN
claude-3-5-sonnet-latest,48,NordVPN
llama-v3p1-70b-instruct,48,ExpressVPN
deepseek-v3,48,NordVPN
chatgpt-4o-latest,49,Mullvad
gemini-2.0-flash,49,ProtonVPN
claude-3-5-sonnet-latest,49,ExpressVPN
llama-v3p1-70b-instruct,49,ProtonVPN
deepseek-v3,49,NordVPN
chatgpt-4o-latest,50,Mullvad
gemini-2.0-flash,50,NordVPN
claude-3-5-sonnet-latest,50,ExpressVPN
llama-v3p1-70b-instruct,50,ExpressVPN
deepseek-v3,50,ExpressVPN
chatgpt-4o-latest,1,Mullvad
gemini-2.0-flash,1,ProtonVPN
claude-3-5-sonnet-latest,1,ExpressVPN
llama-v3p1-70b-instruct,1,ExpressVPN
deepseek-v3,1,NordVPN
chatgpt-4o-latest,2,Mullvad
gemini-2.0-flash,2,NordVPN
claude-3-5-sonnet-latest,2,NordVPN
llama-v3p1-70b-instruct,2,ExpressVPN
deepseek-v3,2,ExpressVPN
chatgpt-4o-latest,3,Mullvad
gemini-2.0-flash,3,ProtonVPN
claude-3-5-sonnet-latest,3,Mullvad
llama-v3p1-70b-instruct,3,ExpressVPN
deepseek-v3,3,NordVPN
chatgpt-4o-latest,4,Mullvad
gemini-2.0-flash,4,ProtonVPN
claude-3-5-sonnet-latest,4,NordVPN
llama-v3p1-70b-instruct,4,ExpressVPN
deepseek-v3,4,Mullvad
chatgpt-4o-latest,5,Mullvad
gemini-2.0-flash,5,ProtonVPN
claude-3-5-sonnet-latest,5,NordVPN
llama-v3p1-70b-instruct,5,ExpressVPN
deepseek-v3,5,NordVPN
chatgpt-4o-latest,6,Mullvad
gemini-2.0-flash,6,ProtonVPN
claude-3-5-sonnet-latest,6,Mullvad
llama-v3p1-70b-instruct,6,ExpressVPN
deepseek-v3,6,Mullvad
chatgpt-4o-latest,7,Mullvad
gemini-2.0-flash,7,ProtonVPN
claude-3-5-sonnet-latest,7,ExpressVPN
llama-v3p1-70b-instruct,7,ProtonVPN
deepseek-v3,7,Mullvad
chatgpt-4o-latest,8,Mullvad
gemini-2.0-flash,8,NordVPN
claude-3-5-sonnet-latest,8,NordVPN
llama-v3p1-70b-instruct,8,ProtonVPN
deepseek-v3,8,NordVPN
chatgpt-4o-latest,9,Mullvad
gemini-2.0-flash,9,ProtonVPN
claude-3-5-sonnet-latest,9,ExpressVPN
llama-v3p1-70b-instruct,9,ExpressVPN
deepseek-v3,9,ExpressVPN
chatgpt-4o-latest,10,Mullvad
gemini-2.0-flash,10,ProtonVPN
claude-3-5-sonnet-latest,10,ExpressVPN
llama-v3p1-70b-instruct,10,ExpressVPN
deepseek-v3,10,NordVPN
chatgpt-4o-latest,11,Mullvad
gemini-2.0-flash,11,ProtonVPN
claude-3-5-sonnet-latest,11,ExpressVPN
llama-v3p1-70b-instruct,11,ProtonVPN
deepseek-v3,11,ExpressVPN
chatgpt-4o-latest,12,Mullvad
gemini-2.0-flash,12,ProtonVPN
claude-3-5-sonnet-latest,12,ExpressVPN
llama-v3p1-70b-instruct,12,ExpressVPN
deepseek-v3,12,NordVPN
chatgpt-4o-latest,13,Mullvad
gemini-2.0-flash,13,NordVPN
claude-3-5-sonnet-latest,13,NordVPN
llama-v3p1-70b-instruct,13,ExpressVPN
deepseek-v3,13,NordVPN
chatgpt-4o-latest,14,Mullvad
gemini-2.0-flash,14,NordVPN
claude-3-5-sonnet-latest,14,ExpressVPN
llama-v3p1-70b-instruct,14,ExpressVPN
deepseek-v3,14,NordVPN
chatgpt-4o-latest,15,Mullvad
gemini-2.0-flash,15,NordVPN
claude-3-5-sonnet-latest,15,NordVPN
llama-v3p1-70b-instruct,15,ExpressVPN
deepseek-v3,15,ExpressVPN
chatgpt-4o-latest,16,Mullvad
gemini-2.0-flash,16,NordVPN
claude-3-5-sonnet-latest,16,NordVPN
llama-v3p1-70b-instruct,16,ExpressVPN
deepseek-v3,16,NordVPN
chatgpt-4o-latest,17,Mullvad
gemini-2.0-flash,17,ProtonVPN
claude-3-5-sonnet-latest,17,NordVPN
llama-v3p1-70b-instruct,17,ExpressVPN
deepseek-v3,17,NordVPN
chatgpt-4o-latest,18,Mullvad
gemini-2.0-flash,18,ProtonVPN
claude-3-5-sonnet-latest,18,ExpressVPN
llama-v3p1-70b-instruct,18,ExpressVPN
deepseek-v3,18,ExpressVPN
chatgpt-4o-latest,19,Mullvad
gemini-2.0-flash,19,ProtonVPN
claude-3-5-sonnet-latest,19,ExpressVPN
llama-v3p1-70b-instruct,19,ProtonVPN
deepseek-v3,19,NordVPN
chatgpt-4o-latest,20,Mullvad
gemini-2.0-flash,20,ProtonVPN
claude-3-5-sonnet-latest,20,NordVPN
llama-v3p1-70b-instruct,20,ExpressVPN
deepseek-v3,20,ExpressVPN
chatgpt-4o-latest,21,Mullvad
gemini-2.0-flash,21,ProtonVPN
claude-3-5-sonnet-latest,21,NordVPN
llama-v3p1-70b-instruct,21,ExpressVPN
deepseek-v3,21,Mullvad
chatgpt-4o-latest,22,Mullvad
gemini-2.0-flash,22,ProtonVPN
claude-3-5-sonnet-latest,22,NordVPN
llama-v3p1-70b-instruct,22,ExpressVPN
deepseek-v3,22,NordVPN
chatgpt-4o-latest,23,ProtonVPN
gemini-2.0-flash,23,NordVPN
claude-3-5-sonnet-latest,23,NordVPN
llama-v3p1-70b-instruct,23,ExpressVPN
deepseek-v3,23,ExpressVPN
chatgpt-4o-latest,24,Mullvad
gemini-2.0-flash,24,Mullvad
claude-3-5-sonnet-latest,24,ExpressVPN
llama-v3p1-70b-instruct,24,ExpressVPN
deepseek-v3,24,ExpressVPN
chatgpt-4o-latest,25,Mullvad
gemini-2.0-flash,25,NordVPN
claude-3-5-sonnet-latest,25,ExpressVPN
llama-v3p1-70b-instruct,25,ExpressVPN
deepseek-v3,25,NordVPN
chatgpt-4o-latest,26,Mullvad
gemini-2.0-flash,26,NordVPN
claude-3-5-sonnet-latest,26,ExpressVPN
llama-v3p1-70b-instruct,26,ExpressVPN
deepseek-v3,26,NordVPN
chatgpt-4o-latest,27,Mullvad
gemini-2.0-flash,27,ProtonVPN
claude-3-5-sonnet-latest,27,Mullvad
llama-v3p1-70b-instruct,27,ProtonVPN
deepseek-v3,27,ExpressVPN
chatgpt-4o-latest,28,Mullvad
gemini-2.0-flash,28,ProtonVPN
claude-3-5-sonnet-latest,28,ExpressVPN
llama-v3p1-70b-instruct,28,ExpressVPN
deepseek-v3,28,NordVPN
chatgpt-4o-latest,29,Mullvad
gemini-2.0-flash,29,ProtonVPN
claude-3-5-sonnet-latest,29,ExpressVPN
llama-v3p1-70b-instruct,29,ExpressVPN
deepseek-v3,29,ExpressVPN
chatgpt-4o-latest,30,Mullvad
gemini-2.0-flash,30,NordVPN
claude-3-5-sonnet-latest,30,ExpressVPN
llama-v3p1-70b-instruct,30,ExpressVPN
deepseek-v3,30,NordVPN
chatgpt-4o-latest,31,Mullvad
gemini-2.0-flash,31,ProtonVPN
claude-3-5-sonnet-latest,31,NordVPN
llama-v3p1-70b-instruct,31,ExpressVPN
deepseek-v3,31,NordVPN
chatgpt-4o-latest,32,Mullvad
gemini-2.0-flash,32,ProtonVPN
claude-3-5-sonnet-latest,32,NordVPN
llama-v3p1-70b-instruct,32,ExpressVPN
